aupr,auc,dim,iter,learn_rate,learn_rateA,learn_rateB,lambda,lambdaA,lambdaB,A(1),A(2),B(1),B(2),drugOrTarget,elapsedTime
0.5310,0.8872,8,600,0.0050,0.0001,0.0001,1.0000,32.0000,256.0000,A1:1.0142,A2:-0.0142,B1:0.7856,B2:0.2144,p,elapsedTime:55.5360s
0.6802,0.9125,16,600,0.0050,0.0001,0.0001,1.0000,32.0000,256.0000,A1:0.9101,A2:0.0899,B1:0.7679,B2:0.2321,p,elapsedTime:66.8754s
0.7083,0.9242,32,600,0.0050,0.0001,0.0001,1.0000,32.0000,256.0000,A1:0.9063,A2:0.0937,B1:0.7021,B2:0.2979,p,elapsedTime:89.0928s
0.7353,0.9349,64,600,0.0050,0.0001,0.0001,1.0000,32.0000,256.0000,A1:0.9027,A2:0.0973,B1:0.6831,B2:0.3169,p,elapsedTime:109.1108s
0.7491,0.9455,128,600,0.0050,0.0001,0.0001,1.0000,32.0000,256.0000,A1:0.8930,A2:0.1070,B1:0.6738,B2:0.3262,p,elapsedTime:127.4993s
0.7595,0.9448,256,600,0.0050,0.0001,0.0001,1.0000,32.0000,256.0000,A1:0.8908,A2:0.1092,B1:0.6676,B2:0.3324,p,elapsedTime:156.8330s
0.7617,0.9467,512,600,0.0050,0.0001,0.0001,1.0000,32.0000,256.0000,A1:0.8875,A2:0.1125,B1:0.6612,B2:0.3388,p,elapsedTime:231.3117s
0.7604,0.9455,1024,600,0.0050,0.0001,0.0001,1.0000,32.0000,256.0000,A1:0.8824,A2:0.1176,B1:0.6561,B2:0.3439,p,elapsedTime:356.1717s
