aupr,auc,dim,iter,learn_rate,learn_rateA,learn_rateB,lambda,lambdaA,lambdaB,A(1),A(2),B(1),B(2),drugOrTarget,elapsedTime
0.5250,0.8332,256,600,0.0050,0.0001,0.0001,0.0625,8.0000,32.0000,A1:0.6439,A2:0.3561,B1:0.5922,B2:0.4078,p,elapsedTime:8.4770s
0.5971,0.8476,256,600,0.0050,0.0001,0.0001,0.1250,8.0000,32.0000,A1:0.6540,A2:0.3460,B1:0.6059,B2:0.3941,p,elapsedTime:9.1190s
0.5862,0.8455,256,600,0.0050,0.0001,0.0001,0.2500,8.0000,32.0000,A1:0.6790,A2:0.3210,B1:0.6232,B2:0.3768,p,elapsedTime:10.7960s
0.5483,0.8394,256,600,0.0050,0.0001,0.0001,0.5000,8.0000,32.0000,A1:0.7297,A2:0.2703,B1:0.6504,B2:0.3496,p,elapsedTime:11.3430s
0.5859,0.8619,256,600,0.0050,0.0001,0.0001,1.0000,8.0000,32.0000,A1:0.8382,A2:0.1618,B1:0.6771,B2:0.3229,p,elapsedTime:9.6440s
0.6224,0.8872,256,600,0.0050,0.0001,0.0001,2.0000,8.0000,32.0000,A1:1.0174,A2:-0.0174,B1:0.6900,B2:0.3100,p,elapsedTime:10.8540s
0.3566,0.8394,256,600,0.0050,0.0001,0.0001,4.0000,8.0000,32.0000,A1:1.1430,A2:-0.1430,B1:0.6851,B2:0.3149,p,elapsedTime:10.2850s
0.2662,0.7491,256,600,0.0050,0.0001,0.0001,8.0000,8.0000,32.0000,A1:1.1596,A2:-0.1596,B1:0.6724,B2:0.3276,p,elapsedTime:9.2180s

