aupr,auc,dim,iter,learn_rate,learn_rateA,learn_rateB,lambda,lambdaA,lambdaB,A(1),A(2),B(1),B(2),drugOrTarget,elapsedTime
0.9556,0.9703,256,600,0.0050,0.0001,0.0001,0.0625,64.0000,128.0000,A1:0.5166,A2:0.4834,B1:0.5200,B2:0.4800,p,elapsedTime:169.3560s
0.9546,0.9770,256,600,0.0050,0.0001,0.0001,0.1250,64.0000,128.0000,A1:0.5449,A2:0.4551,B1:0.5409,B2:0.4591,p,elapsedTime:168.7570s
0.9550,0.9766,256,600,0.0050,0.0001,0.0001,0.2500,64.0000,128.0000,A1:0.5997,A2:0.4003,B1:0.5775,B2:0.4225,p,elapsedTime:162.1700s
0.9536,0.9735,256,600,0.0050,0.0001,0.0001,0.5000,64.0000,128.0000,A1:0.7037,A2:0.2963,B1:0.6323,B2:0.3677,p,elapsedTime:156.0620s
0.9475,0.9751,256,600,0.0050,0.0001,0.0001,1.0000,64.0000,128.0000,A1:0.8614,A2:0.1386,B1:0.7013,B2:0.2987,p,elapsedTime:172.3180s
0.9333,0.9715,256,600,0.0050,0.0001,0.0001,2.0000,64.0000,128.0000,A1:0.9797,A2:0.0203,B1:0.7591,B2:0.2409,p,elapsedTime:178.6390s
0.8720,0.9694,256,600,0.0050,0.0001,0.0001,4.0000,64.0000,128.0000,A1:1.0169,A2:-0.0169,B1:0.7721,B2:0.2279,p,elapsedTime:159.2430s
0.7636,0.9171,256,600,0.0050,0.0001,0.0001,8.0000,64.0000,128.0000,A1:1.0329,A2:-0.0329,B1:0.7682,B2:0.2318,p,elapsedTime:300.3230s
