aupr,auc,dim,iter,learn_rate,learn_rateA,learn_rateB,lambda,lambdaA,lambdaB,A(1),A(2),B(1),B(2),drugOrTarget,elapsedTime
0.6502,0.8852,8,600,0.0050,0.0001,0.0001,1.0000,64.0000,32.0000,A1:0.3137,A2:0.6863,B1:0.6949,B2:0.3051,p,elapsedTime:4.6801s
0.5726,0.8776,16,600,0.0050,0.0001,0.0001,1.0000,64.0000,32.0000,A1:0.3131,A2:0.6869,B1:0.6889,B2:0.3111,p,elapsedTime:4.6006s
0.6257,0.8824,32,600,0.0050,0.0001,0.0001,1.0000,64.0000,32.0000,A1:0.3083,A2:0.6917,B1:0.6870,B2:0.3130,p,elapsedTime:21.6440s
0.5975,0.8694,64,600,0.0050,0.0001,0.0001,1.0000,64.0000,32.0000,A1:0.3001,A2:0.6999,B1:0.6853,B2:0.3147,p,elapsedTime:34.2059s
0.5457,0.8647,128,600,0.0050,0.0001,0.0001,1.0000,64.0000,32.0000,A1:0.2938,A2:0.7062,B1:0.6822,B2:0.3178,p,elapsedTime:47.7517s
0.5334,0.8537,256,600,0.0050,0.0001,0.0001,1.0000,64.0000,32.0000,A1:0.2851,A2:0.7149,B1:0.6786,B2:0.3214,p,elapsedTime:54.6669s
0.5326,0.8503,512,600,0.0050,0.0001,0.0001,1.0000,64.0000,32.0000,A1:0.2823,A2:0.7177,B1:0.6743,B2:0.3257,p,elapsedTime:67.3591s
0.5345,0.8530,1024,600,0.0050,0.0001,0.0001,1.0000,64.0000,32.0000,A1:0.2777,A2:0.7223,B1:0.6706,B2:0.3294,p,elapsedTime:100.8781s
