aupr,auc,dim,iter,learn_rate,learn_rateA,learn_rateB,lambda,lambdaA,lambdaB,A(1),A(2),B(1),B(2),drugOrTarget,elapsedTime
0.7759,0.9502,256,600,0.0050,0.0001,0.0001,0.0625,32.0000,256.0000,A1:0.6225,A2:0.3775,B1:0.3912,B2:0.6088,p,elapsedTime:93.8780s
0.7808,0.9500,256,600,0.0050,0.0001,0.0001,0.1250,32.0000,256.0000,A1:0.6400,A2:0.3600,B1:0.4230,B2:0.5770,p,elapsedTime:89.4050s
0.7797,0.9438,256,600,0.0050,0.0001,0.0001,0.2500,32.0000,256.0000,A1:0.6773,A2:0.3227,B1:0.4795,B2:0.5205,p,elapsedTime:125.4830s
0.7743,0.9481,256,600,0.0050,0.0001,0.0001,0.5000,32.0000,256.0000,A1:0.7552,A2:0.2448,B1:0.5696,B2:0.4304,p,elapsedTime:143.1730s
0.7561,0.9440,256,600,0.0050,0.0001,0.0001,1.0000,32.0000,256.0000,A1:0.8914,A2:0.1086,B1:0.6666,B2:0.3334,p,elapsedTime:113.6770s
0.7094,0.9301,256,600,0.0050,0.0001,0.0001,2.0000,32.0000,256.0000,A1:1.0536,A2:-0.0536,B1:0.7437,B2:0.2563,p,elapsedTime:95.8350s
0.6167,0.8933,256,600,0.0050,0.0001,0.0001,4.0000,32.0000,256.0000,A1:1.1329,A2:-0.1329,B1:0.7766,B2:0.2234,p,elapsedTime:87.6820s
0.4694,0.8275,256,600,0.0050,0.0001,0.0001,8.0000,32.0000,256.0000,A1:1.1658,A2:-0.1658,B1:0.7713,B2:0.2287,p,elapsedTime:190.4670s
