aupr,auc,dim,iter,learn_rate,learn_rateA,learn_rateB,lambda,lambdaA,lambdaB,A(1),A(2),B(1),B(2),drugOrTarget,elapsedTime
0.9138,0.9624,256,600,0.0050,0.0000,0.0000,0.0625,256.0000,1024.0000,A1:0.6096,A2:0.3904,B1:0.5515,B2:0.4485,p,elapsedTime:1741.9992s
0.8989,0.9642,256,600,0.0050,0.0000,0.0000,0.1250,256.0000,1024.0000,A1:0.6163,A2:0.3837,B1:0.5583,B2:0.4417,p,elapsedTime:1071.6718s
0.9160,0.9670,256,600,0.0050,0.0000,0.0000,0.2500,256.0000,1024.0000,A1:0.6300,A2:0.3700,B1:0.5702,B2:0.4298,p,elapsedTime:1072.4124s
0.9145,0.9671,256,600,0.0050,0.0000,0.0000,0.5000,256.0000,1024.0000,A1:0.6566,A2:0.3434,B1:0.5945,B2:0.4055,p,elapsedTime:1088.8346s
0.9137,0.9714,256,600,0.0050,0.0000,0.0000,1.0000,256.0000,1024.0000,A1:0.7064,A2:0.2936,B1:0.6371,B2:0.3629,p,elapsedTime:1080.9355s
0.9025,0.9796,256,600,0.0050,0.0000,0.0000,2.0000,256.0000,1024.0000,A1:0.7964,A2:0.2036,B1:0.7043,B2:0.2957,p,elapsedTime:1077.3222s
0.8352,0.9698,256,600,0.0050,0.0000,0.0000,4.0000,256.0000,1024.0000,A1:0.9294,A2:0.0706,B1:0.7806,B2:0.2194,p,elapsedTime:1072.3209s
0.6890,0.9285,256,600,0.0050,0.0000,0.0000,8.0000,256.0000,1024.0000,A1:1.0384,A2:-0.0384,B1:0.8239,B2:0.1761,p,elapsedTime:1070.4732s
